                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.98898,                 1.5122,                 2.3933,                 1.0934,                0.60876,                0.65492,                 0.6195,                0.43872,                0.61756,                0.65143,                0.62249,                0.43848,                0.90511,                 1.3129,                 1.7721,                 1.0297,              0.0033239,              0.0033239,              0.0033239
                      1,                 0.9015,                 1.1979,                 1.3558,                 1.0144,                0.67269,                0.64049,                0.67485,                0.48757,                0.67853,                 0.6445,                0.68339,                0.48587,                 0.9043,                  1.402,                 1.2866,                 1.0107,              0.0066353,              0.0066353,              0.0066353
                      2,                0.94128,                 1.2302,                 1.1555,                 1.0409,                0.68759,                 0.5967,                0.64715,                0.44799,                0.68852,                0.59764,                 0.6476,                0.45215,                  1.009,                 1.6614,                 1.2497,                 1.0849,              0.0099246,              0.0099246,              0.0099246
                      3,                0.97942,                 1.2632,                 1.0755,                 1.0667,                0.70147,                0.69811,                0.74268,                0.54537,                0.70576,                0.70524,                0.74719,                0.54705,                0.89374,                 1.3743,                0.99324,                 1.0538,               0.009901,               0.009901,               0.009901
                      4,                0.93447,                 1.2123,                0.96862,                 1.0469,                0.75233,                0.72513,                0.76622,                0.57184,                0.75364,                 0.7275,                 0.7704,                0.57617,                0.87555,                 1.3045,                 0.8867,                 1.0423,               0.009901,               0.009901,               0.009901
                      5,                 0.9041,                 1.1595,                0.89967,                 1.0372,                0.70329,                0.70254,                0.74108,                0.54172,                0.68926,                0.73323,                0.74114,                0.53932,                0.85099,                 1.2709,                 0.9619,                 1.0319,               0.009868,               0.009868,               0.009868
                      6,                  0.883,                 1.1394,                0.85768,                 1.0303,                0.70253,                0.74236,                0.76026,                0.57398,                0.69691,                0.75703,                0.76449,                0.57885,                0.86108,                 1.1949,                0.84685,                 1.0446,               0.009835,               0.009835,               0.009835
                      7,                0.86095,                 1.1329,                0.81422,                 1.0235,                0.62811,                0.64292,                0.63655,                0.46667,                0.65005,                0.62889,                0.64056,                0.46834,                0.88801,                 1.2941,                 1.2769,                 1.0677,               0.009802,               0.009802,               0.009802
                      8,                 0.8414,                 1.0966,                0.78547,                  1.008,                0.82789,                0.81308,                0.87055,                0.66655,                0.82653,                0.81374,                0.87047,                0.66011,                0.78199,                 1.1747,                0.65014,                0.99643,               0.009769,               0.009769,               0.009769
                      9,                0.84257,                 1.0923,                0.76793,                 1.0098,                0.83331,                0.79073,                0.85537,                0.65332,                0.83733,                0.79123,                0.85854,                0.65874,                0.78382,                 1.1125,                0.67241,                   1.01,               0.009736,               0.009736,               0.009736
                     10,                0.82325,                 1.0816,                0.74234,                 1.0014,                 0.7528,                0.69041,                0.74794,                0.53313,                0.75899,                0.69163,                0.75177,                0.52866,                0.91667,                 1.5166,                 0.9259,                 1.0781,               0.009703,               0.009703,               0.009703
                     11,                0.81063,                 1.0476,                0.71908,                 0.9963,                0.82069,                0.81299,                0.86204,                0.67351,                0.82549,                0.81755,                0.86885,                0.66755,                0.75969,                 1.1323,                0.64544,                0.97948,                0.00967,                0.00967,                0.00967
                     12,                0.80994,                 1.0588,                0.70896,                0.99719,                0.87602,                 0.8135,                0.89013,                0.68474,                  0.875,                0.82056,                0.89334,                0.69063,                0.75462,                 1.0516,                0.60492,                0.99057,               0.009637,               0.009637,               0.009637
                     13,                0.79933,                 1.0427,                0.70625,                 0.9932,                0.84363,                0.78691,                0.87723,                 0.6906,                0.84776,                0.79055,                0.87834,                0.69027,                0.70749,                 1.0263,                0.61045,                0.95434,               0.009604,               0.009604,               0.009604
                     14,                0.79637,                 1.0376,                0.68936,                0.98785,                0.80347,                0.83192,                 0.8829,                0.69492,                 0.8069,                0.83333,                0.88469,                0.68511,                0.71822,                 1.0664,                0.61132,                0.96922,               0.009571,               0.009571,               0.009571
                     15,                0.78919,                 1.0117,                0.68104,                0.98787,                0.78832,                0.82122,                 0.8662,                 0.6833,                   0.79,                 0.8231,                0.86684,                 0.6781,                0.72665,                 1.0539,                0.61295,                0.97346,               0.009538,               0.009538,               0.009538
                     16,                0.78057,                  1.002,                0.66729,                0.98039,                0.84969,                0.83131,                 0.8943,                0.70919,                0.85399,                0.83795,                0.89728,                0.70622,                0.70869,                 1.0359,                0.56715,                 0.9628,               0.009505,               0.009505,               0.009505
                     17,                0.77002,                 1.0016,                 0.6547,                0.98009,                0.87278,                0.86855,                0.92532,                0.73912,                0.87504,                 0.8733,                0.92897,                0.73733,                0.68934,                 1.0009,                 0.5254,                0.95238,               0.009472,               0.009472,               0.009472
                     18,                0.75985,                0.98078,                0.64881,                0.97201,                0.84384,                0.86369,                0.90092,                0.71368,                0.85212,                0.87129,                 0.9063,                0.71115,                 0.7013,                 1.0187,                0.55663,                0.96782,               0.009439,               0.009439,               0.009439
                     19,                0.76621,                0.99615,                0.63786,                0.97466,                0.86561,                0.86601,                0.91836,                  0.735,                0.87281,                0.86007,                0.91994,                0.72962,                0.70398,                 1.0056,                0.52185,                  0.964,               0.009406,               0.009406,               0.009406
