                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4083,                 3.1577,                  3.296,                 1.5478,                0.92101,                0.12273,                0.13408,                0.07082,                0.92101,                0.12273,                0.15797,                0.08149,                 1.2393,                 3.4279,                 3.6108,                 1.6136,             0.00036032,             0.00036032,             0.00036032
                      1,                 1.1589,                 1.9239,                 2.2806,                 1.2886,                 0.2446,                0.39516,                0.28992,                0.17895,                0.24493,                0.35783,                0.28158,                0.17999,                 1.2792,                 2.3532,                 2.6329,                 1.4187,             0.00072825,             0.00072825,             0.00072825
                      2,                 1.1613,                 1.8369,                  2.068,                  1.276,                0.21862,                0.24098,                0.19315,                0.11855,                0.24309,                0.23933,                0.19987,                0.10349,                 1.4063,                 3.1739,                   2.88,                 1.4512,              0.0010937,              0.0010937,              0.0010937
                      3,                 1.1569,                 1.8159,                 1.9776,                 1.2788,                0.15871,                 0.4093,                0.22181,                0.12976,                0.15947,                0.41385,                0.22573,                0.14209,                 1.5639,                 2.8504,                 2.8242,                 1.6909,                 0.0011,                 0.0011,                 0.0011
                      4,                 1.1367,                 1.7534,                 1.8555,                 1.2558,                0.25497,                 0.2252,                0.22613,                0.11506,                0.26038,                0.22592,                0.22356,                0.11623,                 1.7254,                 2.9649,                 2.8707,                 1.8429,                 0.0011,                 0.0011,                 0.0011
                      5,                 1.1188,                 1.7785,                  1.758,                 1.2438,                0.35365,                0.30082,                0.31747,                 0.2055,                0.35772,                0.30082,                0.31353,                0.19348,                 1.3306,                 2.8448,                 2.4419,                 1.4373,              0.0010963,              0.0010963,              0.0010963
                      6,                 1.0741,                 1.6723,                 1.6672,                   1.22,                0.61958,                0.37079,                0.39415,                 0.2594,                0.64317,                0.38507,                0.41046,                0.26394,                 1.2848,                 2.1902,                 1.9803,                 1.3794,              0.0010927,              0.0010927,              0.0010927
                      7,                 1.0813,                 1.7134,                 1.6192,                 1.2126,                 0.3818,                0.60095,                0.40171,                0.25691,                0.37977,                 0.5927,                0.40077,                0.25439,                 1.3194,                 2.4044,                  1.962,                 1.3987,               0.001089,               0.001089,               0.001089
                      8,                 1.0872,                 1.7431,                  1.551,                 1.2092,                0.41858,                0.53312,                0.47602,                0.30876,                0.45549,                 0.5313,                0.47828,                0.30466,                 1.2776,                 2.1426,                 1.8059,                 1.3758,              0.0010853,              0.0010853,              0.0010853
                      9,                 1.0587,                 1.6904,                 1.5036,                 1.1928,                0.30215,                0.51306,                0.45669,                0.30113,                0.30311,                0.51847,                0.46928,                0.29583,                 1.2656,                 2.2249,                 2.1599,                 1.3748,              0.0010817,              0.0010817,              0.0010817
