                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0668,                 1.7939,                 2.6777,                 1.1943,                0.59883,                0.64931,                 0.6173,                0.44706,                0.60101,                0.64748,                 0.6124,                0.45157,                0.93275,                 1.3761,                 2.0779,                 1.0695,              0.0033121,              0.0033121,              0.0033121
                      1,                0.90624,                 1.2638,                 1.5163,                 1.0375,                0.51287,                0.51873,                0.45823,                0.30884,                0.53634,                0.50783,                0.46256,                0.31115,                0.97142,                 1.5095,                 2.5915,                 1.0892,              0.0066235,              0.0066235,              0.0066235
                      2,                0.94721,                 1.2733,                 1.3178,                 1.0582,                0.64068,                0.71902,                0.69772,                0.48592,                0.64922,                0.71881,                0.70724,                 0.4962,                0.95972,                 1.5962,                  1.387,                 1.1302,              0.0099129,              0.0099129,              0.0099129
                      3,                0.97966,                 1.3095,                  1.193,                 1.0909,                0.88335,                0.33726,                0.47219,                 0.3346,                0.88447,                0.33952,                0.47936,                0.34566,                   1.01,                 1.5718,                  2.111,                 1.1658,               0.009901,               0.009901,               0.009901
                      4,                0.95582,                 1.2708,                 1.0517,                 1.0771,                0.63449,                0.46947,                0.53021,                0.37959,                0.63662,                0.47216,                0.53126,                0.38094,                  1.091,                 1.8389,                 1.6861,                 1.1825,               0.009901,               0.009901,               0.009901
                      5,                0.94346,                 1.2389,                0.98758,                 1.0799,                 0.7483,                0.67911,                0.76892,                 0.5647,                0.72432,                0.70825,                0.77214,                0.57102,                0.95591,                 1.5062,                0.99701,                 1.1075,               0.009868,               0.009868,               0.009868
                      6,                0.90494,                 1.1899,                0.90528,                 1.0672,                0.61354,                0.73154,                0.67638,                0.47463,                0.61531,                0.73166,                0.67485,                0.48938,                 1.0205,                 1.4955,                 1.3722,                 1.1556,               0.009835,               0.009835,               0.009835
                      7,                0.89893,                 1.1921,                0.88965,                 1.0591,                0.65568,                0.66144,                0.66894,                0.47168,                0.65773,                0.66517,                0.66985,                0.47829,                0.98698,                 1.5298,                 1.2968,                  1.102,               0.009802,               0.009802,               0.009802
                      8,                0.88301,                 1.1884,                0.84917,                 1.0519,                0.63927,                0.64834,                0.68688,                0.47966,                0.64095,                0.64542,                0.69051,                0.49073,                 1.0031,                 1.5365,                 1.3868,                 1.1436,               0.009769,               0.009769,               0.009769
                      9,                0.86722,                 1.1464,                0.83249,                 1.0452,                0.80803,                0.72145,                0.82113,                0.61978,                0.80503,                0.72254,                0.82267,                0.63017,                0.87619,                 1.2741,                0.93599,                  1.074,               0.009736,               0.009736,               0.009736
