                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5565,                 2.6331,                 3.1473,                 1.4729,                0.88136,                0.06019,                0.17072,                0.09924,                0.88136,                0.06019,                0.17317,                0.09046,                 1.4487,                 2.9416,                 3.6181,                 1.5235,             0.00054211,             0.00054211,             0.00054211
                      1,                 1.3898,                 2.0908,                 2.1059,                 1.3344,                0.10834,                0.20899,                0.09678,                0.05691,                0.07101,                0.12963,                0.05302,                0.01697,                 1.4557,                 5.9708,                 3.2941,                 1.5011,              0.0010942,              0.0010942,              0.0010942
                      2,                 1.3423,                 2.0321,                 1.7991,                 1.3319,                0.49678,                0.36839,                0.36446,                0.21523,                0.49979,                0.36839,                0.36716,                0.22532,                 1.5073,                 3.0763,                 3.5301,                 1.5485,              0.0016425,              0.0016425,              0.0016425
                      3,                 1.3074,                 1.8987,                 1.5941,                 1.2911,                0.79023,                0.22764,                0.35154,                0.19784,                0.79023,                0.22764,                0.32491,                0.19817,                 1.5214,                 2.4457,                 2.5734,                 1.6039,              0.0016505,              0.0016505,              0.0016505
                      4,                 1.2973,                 1.8759,                 1.4737,                 1.2728,                0.51405,                0.47687,                0.54923,                0.33235,                0.55899,                0.48762,                0.56651,                0.33003,                 1.4158,                 2.3106,                 1.8653,                 1.3823,              0.0016505,              0.0016505,              0.0016505
                      5,                 1.2854,                 1.8895,                 1.3667,                 1.2711,                  0.714,                0.41046,                0.49172,                0.28822,                  0.714,                0.41046,                0.48894,                0.28025,                 1.4198,                 2.7626,                 1.7664,                 1.4953,               0.001645,               0.001645,               0.001645
                      6,                 1.2693,                 1.8493,                 1.2911,                 1.2527,                 0.4773,                0.55144,                0.51326,                0.28725,                0.45692,                0.55489,                0.50533,                0.27027,                 1.5076,                 2.2243,                 1.6807,                 1.5526,              0.0016395,              0.0016395,              0.0016395
                      7,                 1.2501,                 1.8351,                 1.1792,                 1.2455,                0.65895,                0.62037,                0.59696,                0.35462,                0.67622,                0.63294,                0.59952,                0.36177,                   1.42,                 2.3368,                 1.3833,                 1.4665,               0.001634,               0.001634,               0.001634
                      8,                 1.2459,                 1.8209,                 1.2269,                 1.2605,                0.60266,                0.67791,                0.65983,                0.40654,                0.61859,                  0.704,                  0.678,                0.42098,                 1.3687,                 2.0641,                 1.3045,                 1.3551,              0.0016285,              0.0016285,              0.0016285
                      9,                 1.2257,                 1.7782,                 1.1268,                 1.2336,                  0.722,                0.56745,                0.67943,                0.39932,                0.70887,                0.55952,                 0.6663,                0.40033,                 1.3836,                 2.0135,                 1.2941,                 1.4007,               0.001623,               0.001623,               0.001623
                     10,                 1.2099,                  1.819,                 1.1148,                 1.2328,                0.58477,                 0.6523,                0.67693,                0.40162,                0.57799,                0.64616,                0.66907,                0.40423,                 1.3204,                 2.1295,                 1.2724,                 1.3916,              0.0016175,              0.0016175,              0.0016175
                     11,                 1.1845,                 1.7505,                 1.0771,                 1.2182,                0.65838,                 0.7619,                 0.7465,                0.44018,                0.66875,                0.74328,                0.75057,                0.45346,                 1.3942,                  1.961,                  1.144,                 1.4322,               0.001612,               0.001612,               0.001612
                     12,                 1.1693,                 1.7026,                 1.0351,                 1.2006,                0.55772,                0.63161,                0.60957,                0.36408,                 0.5634,                0.62735,                0.62274,                0.37679,                 1.3347,                 1.9436,                 1.2952,                 1.4032,              0.0016065,              0.0016065,              0.0016065
                     13,                 1.1579,                 1.7033,                 1.0723,                 1.2178,                0.79069,                0.59458,                0.69404,                0.44917,                0.79069,                0.59458,                0.69356,                0.43691,                 1.3082,                 1.9477,                 1.2329,                 1.3491,               0.001601,               0.001601,               0.001601
                     14,                 1.1907,                 1.7123,                 1.0326,                 1.2071,                 0.6152,                 0.6164,                0.59961,                0.38041,                 0.6236,                0.62423,                0.60849,                0.38232,                  1.301,                 1.9375,                 1.4711,                 1.3725,              0.0015955,              0.0015955,              0.0015955
                     15,                 1.1767,                 1.7502,                  1.004,                 1.2056,                0.78431,                0.68651,                0.78458,                 0.4954,                0.76797,                0.69687,                0.78799,                0.50073,                 1.2802,                 1.8766,                 1.0177,                 1.3182,                0.00159,                0.00159,                0.00159
                     16,                 1.1657,                 1.6997,                0.96107,                 1.2039,                0.81342,                0.67871,                  0.784,                0.48223,                0.81443,                0.67794,                0.77383,                0.48812,                 1.2988,                 1.8742,                  1.061,                 1.3726,              0.0015845,              0.0015845,              0.0015845
