                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4625,                 2.3361,                 3.0102,                  1.304,                0.91213,                0.05118,                0.26449,                0.15655,                0.91213,                0.05118,                0.29898,                 0.1573,                 1.2895,                 2.5527,                 3.3514,                 1.0848,             0.00054455,             0.00054455,             0.00054455
                      1,                  1.332,                 1.8232,                 1.8526,                 1.1905,                0.39846,                0.10817,                0.24769,                0.14326,                0.39846,                0.10817,                0.25063,                0.14695,                 1.5228,                 2.8309,                 3.4769,                  1.415,              0.0010966,              0.0010966,              0.0010966
                      2,                 1.2869,                 1.7795,                 1.5888,                 1.1876,                0.56019,                 0.3438,                0.32802,                0.19222,                0.54891,                0.33969,                0.32157,                0.18144,                 1.6875,                 3.6019,                  2.756,                  1.694,               0.001645,               0.001645,               0.001645
                      3,                 1.3271,                 1.7849,                 1.4247,                 1.1922,                0.31876,                0.47003,                0.36358,                0.21137,                0.30465,                0.46362,                 0.3567,                0.19911,                 1.5019,                 2.8956,                 2.3515,                 1.4291,              0.0016505,              0.0016505,              0.0016505
                      4,                 1.2901,                 1.7036,                 1.2759,                 1.1876,                0.60642,                0.70351,                0.66985,                0.39424,                0.60358,                0.69957,                0.66634,                0.38526,                 1.4554,                 1.9735,                 1.5268,                 1.3083,              0.0016505,              0.0016505,              0.0016505
                      5,                   1.27,                  1.692,                 1.1804,                 1.1753,                0.77705,                0.52859,                0.59007,                0.38391,                0.77958,                0.53241,                0.59608,                0.38902,                 1.3242,                 1.6598,                 2.5787,                 1.2206,               0.001645,               0.001645,               0.001645
                      6,                 1.2025,                 1.6436,                 1.0731,                 1.1505,                0.65397,                 0.7906,                0.73237,                0.48167,                0.65397,                 0.7906,                 0.7305,                0.48108,                 1.3616,                 1.7123,                   1.41,                 1.3117,              0.0016395,              0.0016395,              0.0016395
                      7,                 1.2132,                 1.6629,                 1.0437,                 1.1453,                0.72078,                0.75676,                0.78507,                0.49164,                0.72078,                0.75676,                0.78668,                0.50242,                  1.287,                 1.6594,                 1.3214,                 1.2287,               0.001634,               0.001634,               0.001634
                      8,                 1.1984,                 1.6469,                 1.0307,                 1.1401,                0.71565,                0.66806,                0.73235,                0.47619,                0.72595,                0.65641,                0.74849,                0.48657,                 1.4169,                 1.6762,                 1.3803,                 1.3625,              0.0016285,              0.0016285,              0.0016285
                      9,                 1.1593,                 1.5827,                0.95623,                 1.1242,                0.73246,                0.78788,                0.79722,                0.54135,                 0.7464,                0.80337,                0.82259,                0.52803,                 1.3573,                 1.7565,                 1.0895,                 1.3576,               0.001623,               0.001623,               0.001623
                     10,                 1.1732,                 1.6149,                0.95222,                 1.1226,                0.69644,                0.75252,                0.75186,                 0.4494,                0.69008,                0.76239,                0.75978,                0.45719,                  1.423,                 1.8039,                 1.2253,                 1.3661,              0.0016175,              0.0016175,              0.0016175
                     11,                 1.1495,                 1.5786,                0.93153,                 1.1241,                0.72447,                 0.8286,                0.84974,                0.53499,                0.72759,                0.83187,                0.85182,                0.54664,                 1.3662,                 1.7088,                 1.3535,                 1.3264,               0.001612,               0.001612,               0.001612
                     12,                 1.1765,                 1.6284,                 0.9473,                 1.1213,                0.62297,                0.61552,                0.62848,                0.39799,                0.63665,                 0.6214,                0.63265,                0.39103,                 1.4088,                 1.7812,                 1.7237,                  1.413,              0.0016065,              0.0016065,              0.0016065
                     13,                 1.1228,                 1.5813,                0.85492,                 1.1189,                 0.6615,                0.75574,                0.79523,                0.49055,                0.66387,                0.75967,                0.79956,                0.49541,                 1.3189,                 1.7685,                 1.3893,                 1.2921,               0.001601,               0.001601,               0.001601
                     14,                 1.1065,                 1.5898,                0.84622,                 1.1015,                0.78391,                 0.8465,                 0.8694,                0.57271,                0.80384,                0.85231,                0.88169,                0.56721,                 1.2487,                 1.5841,                 1.2442,                 1.2131,              0.0015955,              0.0015955,              0.0015955
                     15,                 1.1437,                 1.5402,                0.87379,                 1.1103,                0.81594,                0.72354,                0.84298,                0.54884,                0.81594,                0.72354,                0.84174,                0.55968,                 1.2656,                 1.6143,                 1.3898,                 1.2358,                0.00159,                0.00159,                0.00159
                     16,                 1.1188,                 1.5123,                0.83781,                 1.1042,                0.78579,                0.82927,                0.86697,                0.55623,                0.78922,                0.83321,                0.87134,                0.55194,                 1.2374,                 1.7002,                 1.0505,                 1.2105,              0.0015845,              0.0015845,              0.0015845
                     17,                 1.1194,                 1.5452,                0.81336,                 1.0962,                0.80998,                 0.8057,                0.86374,                0.57498,                0.81672,                0.81158,                0.87015,                0.57086,                 1.1803,                 1.6049,                 1.1162,                 1.1496,               0.001579,               0.001579,               0.001579
                     18,                 1.1103,                 1.4927,                 0.8047,                 1.1029,                0.85522,                0.86846,                0.90253,                0.61593,                0.84473,                0.86705,                0.90145,                0.60819,                  1.185,                 1.6725,                 1.0405,                 1.1851,              0.0015735,              0.0015735,              0.0015735
                     19,                  1.078,                 1.5182,                0.79878,                 1.0861,                0.81976,                0.82339,                0.85488,                0.57469,                0.77989,                 0.8862,                0.87232,                0.57973,                 1.1503,                 1.6142,                 1.0945,                 1.1662,               0.001568,               0.001568,               0.001568
                     20,                 1.0752,                 1.4863,                0.76472,                 1.0834,                 0.8581,                 0.8508,                0.89737,                0.60877,                0.86167,                0.85474,                0.89634,                0.60554,                 1.2409,                 1.6015,                0.87924,                 1.2227,              0.0015625,              0.0015625,              0.0015625
                     21,                 1.0528,                 1.4348,                0.74639,                 1.0628,                0.80725,                 0.7892,                0.84812,                 0.5587,                0.81767,                0.79393,                0.85151,                0.55821,                 1.2718,                 1.6716,                 1.0726,                 1.2658,               0.001557,               0.001557,               0.001557
                     22,                 1.0623,                 1.4785,                0.75071,                 1.0695,                0.83763,                0.88105,                0.92252,                0.62204,                0.84312,                0.88624,                0.93139,                0.63095,                 1.1454,                 1.4626,                0.71147,                 1.1704,              0.0015515,              0.0015515,              0.0015515
                     23,                 1.0772,                 1.4303,                0.72654,                  1.067,                0.80881,                0.82856,                0.87167,                0.57139,                 0.8123,                0.82983,                0.88018,                0.57501,                 1.2075,                 1.6541,                0.76236,                 1.1712,               0.001546,               0.001546,               0.001546
                     24,                 1.0613,                 1.4385,                0.72908,                  1.075,                0.78641,                0.84707,                0.87417,                 0.5943,                0.78641,                0.84707,                0.87417,                0.58972,                 1.1048,                  1.529,                0.93365,                 1.1371,              0.0015405,              0.0015405,              0.0015405
                     25,                 1.0408,                 1.4329,                0.74003,                 1.0566,                0.80836,                0.84474,                0.85119,                 0.5737,                 0.8155,                0.85063,                0.85683,                0.57371,                  1.222,                 1.5711,                  1.034,                 1.2155,               0.001535,               0.001535,               0.001535
                     26,                 1.0767,                 1.4676,                0.72999,                 1.0747,                0.74155,                0.77629,                0.79437,                0.51896,                0.71818,                0.80574,                0.79869,                0.52224,                 1.3019,                   1.62,                 1.2108,                 1.2442,              0.0015295,              0.0015295,              0.0015295
                     27,                 1.0472,                 1.4407,                0.69668,                 1.0541,                0.85396,                0.83316,                0.88571,                 0.5819,                0.83546,                 0.8353,                0.89308,                0.58706,                 1.2609,                 1.6389,                0.92695,                 1.2722,               0.001524,               0.001524,               0.001524
                     28,                 1.0477,                 1.4486,                0.70878,                 1.0634,                0.85312,                0.92043,                 0.9318,                0.62796,                 0.8574,                0.92382,                 0.9342,                0.63251,                 1.1642,                 1.5388,                0.62438,                 1.1394,              0.0015185,              0.0015185,              0.0015185
                     29,                 1.0226,                 1.3964,                0.67844,                 1.0577,                0.84066,                0.89403,                0.92335,                0.62965,                0.84347,                0.89796,                0.92458,                 0.6278,                 1.0872,                 1.5441,                0.71454,                 1.0942,               0.001513,               0.001513,               0.001513
                     30,                 1.0239,                 1.3752,                 0.6709,                 1.0446,                0.86263,                0.86234,                0.90486,                0.60812,                0.86527,                0.84896,                 0.9049,                0.59652,                 1.2196,                 1.6853,                 1.0806,                 1.2124,              0.0015075,              0.0015075,              0.0015075
