                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.572,                 3.4896,                 3.0942,                 1.6199,                0.37619,                0.26285,                 0.3016,                 0.1611,                 0.3446,                0.22363,                0.26799,                0.11768,                 1.4435,                 3.6632,                 2.7957,                 1.4991,             0.00040541,             0.00040541,             0.00040541
                      1,                  1.375,                 2.1503,                 2.0578,                 1.3553,                0.39366,                0.64772,                0.45541,                 0.2516,                0.34228,                0.43239,                0.29198,                0.09437,                 1.3841,                 5.1225,                 2.1769,                 1.5083,             0.00081936,             0.00081936,             0.00081936
                      2,                 1.3443,                 2.0975,                 1.8551,                 1.3485,                0.38857,                0.69563,                0.55017,                0.32905,                0.38857,                0.69563,                0.55137,                0.31425,                 1.3421,                 2.6131,                 2.0387,                 1.5826,              0.0012306,              0.0012306,              0.0012306
                      3,                 1.3283,                 2.0777,                 1.7277,                 1.3408,                0.45209,                 0.5698,                 0.4112,                0.21579,                0.45596,                0.58205,                0.41015,                0.21401,                  1.575,                 2.7213,                 2.2439,                 1.6538,              0.0012376,              0.0012376,              0.0012376
                      4,                 1.3454,                 2.0597,                 1.6178,                 1.3378,                0.44489,                0.67755,                0.53391,                0.33418,                0.44012,                0.66971,                0.52379,                0.27678,                 1.3001,                 2.9204,                  1.652,                 1.3514,              0.0012376,              0.0012376,              0.0012376
                      5,                 1.2848,                 1.9722,                 1.4815,                 1.2984,                0.52639,                0.62798,                0.58464,                 0.3456,                0.53769,                0.64416,                0.60446,                0.36097,                 1.2652,                  1.843,                 1.5822,                 1.3489,              0.0012335,              0.0012335,              0.0012335
                      6,                 1.2783,                  1.913,                 1.4028,                 1.2989,                0.43148,                0.65527,                0.63872,                0.32613,                0.41901,                0.62684,                 0.6363,                0.32441,                 1.5439,                 2.0175,                 1.5125,                 1.5586,              0.0012294,              0.0012294,              0.0012294
                      7,                 1.2557,                 1.9491,                 1.3643,                 1.2916,                0.61498,                0.65821,                0.66977,                0.43464,                0.63117,                0.65542,                0.67479,                0.44208,                  1.165,                 1.8747,                 1.3478,                 1.2853,              0.0012252,              0.0012252,              0.0012252
                      8,                 1.2628,                 1.9729,                 1.3511,                 1.2975,                0.45948,                0.77784,                0.60412,                0.38334,                0.45351,                0.74885,                0.58538,                0.36184,                  1.208,                 2.2752,                 1.5514,                 1.3237,              0.0012211,              0.0012211,              0.0012211
                      9,                 1.2576,                 1.9565,                 1.2488,                 1.2821,                0.51188,                0.71313,                0.66058,                 0.4205,                0.51437,                0.71313,                0.65946,                0.40762,                  1.242,                  1.959,                 1.3343,                 1.3392,               0.001217,               0.001217,               0.001217
                     10,                 1.2357,                 1.8768,                 1.2024,                 1.2759,                0.55021,                0.81709,                0.69725,                0.45356,                0.55653,                0.81697,                0.69659,                0.45029,                 1.0969,                 1.8617,                 1.0914,                 1.2406,              0.0012129,              0.0012129,              0.0012129
                     11,                 1.1957,                 1.8548,                 1.1981,                 1.2598,                0.67507,                0.67882,                0.70809,                0.46666,                0.66794,                0.67489,                0.70762,                0.46658,                 1.1715,                 1.7845,                 1.1904,                 1.2807,              0.0012087,              0.0012087,              0.0012087
                     12,                 1.2013,                 1.8776,                 1.1807,                 1.2529,                0.66055,                0.63193,                0.67704,                0.45208,                 0.6577,                0.63007,                0.67402,                 0.4385,                 1.1599,                 1.8171,                 1.2435,                   1.27,              0.0012046,              0.0012046,              0.0012046
                     13,                  1.198,                 1.8645,                 1.1486,                 1.2592,                0.65384,                0.65077,                0.67674,                0.45023,                0.66138,                0.65249,                0.68019,                0.44569,                 1.2371,                 1.7743,                 1.5064,                 1.3009,              0.0012005,              0.0012005,              0.0012005
                     14,                 1.1755,                 1.8472,                 1.1358,                 1.2394,                0.64541,                0.78592,                0.70642,                0.49054,                0.65006,                0.78912,                0.71777,                0.47269,                 1.1908,                 1.7807,                 1.1348,                 1.2916,              0.0011964,              0.0011964,              0.0011964
                     15,                 1.2025,                 1.8287,                 1.1135,                 1.2593,                0.43724,                0.62434,                0.53432,                0.31499,                0.43441,                0.61649,                0.53111,                0.30563,                 1.3878,                 1.8745,                 1.7717,                 1.4581,              0.0011922,              0.0011922,              0.0011922
                     16,                 1.1809,                 1.8072,                 1.0679,                 1.2554,                0.65191,                0.67572,                0.68483,                0.47368,                0.64804,                 0.6718,                0.68031,                0.46406,                 1.1332,                 1.7411,                 1.1103,                 1.2627,              0.0011881,              0.0011881,              0.0011881
                     17,                 1.1358,                 1.7979,                 1.0545,                 1.2193,                0.64425,                0.79882,                 0.7575,                0.51512,                0.64729,                0.80274,                0.76022,                0.52355,                 1.1011,                  1.655,                 1.0038,                 1.2692,               0.001184,               0.001184,               0.001184
                     18,                 1.1415,                 1.7629,                 1.0365,                 1.2295,                0.65932,                0.69043,                0.70071,                0.46239,                0.65441,                0.68651,                0.69525,                0.44683,                 1.1719,                 2.1188,                 1.0302,                 1.3286,              0.0011799,              0.0011799,              0.0011799
                     19,                 1.1513,                 1.7745,                 1.0415,                 1.2412,                0.69399,                0.71106,                 0.7503,                0.47468,                0.69399,                0.71106,                0.75013,                0.47514,                 1.1594,                 1.7794,                 1.0146,                 1.2834,              0.0011757,              0.0011757,              0.0011757
                     20,                  1.137,                 1.7946,                 1.0159,                  1.231,                0.67413,                0.66851,                0.74596,                0.51438,                0.67413,                0.66851,                0.74551,                0.50488,                 1.1413,                 1.7358,                 1.0811,                 1.2883,              0.0011716,              0.0011716,              0.0011716
                     21,                 1.1158,                 1.7574,                0.98162,                   1.23,                0.73611,                0.76543,                0.79813,                0.53076,                0.73611,                0.76543,                0.79704,                0.53186,                 1.1097,                 1.6273,                0.89649,                  1.253,              0.0011675,              0.0011675,              0.0011675
                     22,                 1.1453,                 1.8056,                 1.0191,                 1.2176,                0.76658,                 0.6964,                0.78059,                0.52582,                0.76658,                 0.6964,                0.77912,                0.52292,                 1.1538,                  1.646,                0.95362,                 1.2455,              0.0011634,              0.0011634,              0.0011634
                     23,                 1.1486,                 1.7946,                0.98034,                   1.23,                0.69792,                0.69053,                0.76462,                0.51431,                0.69792,                0.69053,                0.76462,                0.49408,                 1.1442,                 1.7309,                0.95626,                 1.2508,              0.0011593,              0.0011593,              0.0011593
                     24,                 1.1159,                 1.7627,                0.93796,                  1.215,                0.65453,                0.69765,                0.72223,                0.49102,                0.65189,                0.69373,                0.71439,                 0.4851,                  1.197,                 1.8688,                 1.1109,                 1.3175,              0.0011551,              0.0011551,              0.0011551
                     25,                 1.0879,                 1.7254,                0.92437,                 1.2072,                0.59117,                0.68329,                0.69637,                0.47091,                0.58954,                0.67067,                  0.688,                 0.4663,                 1.1608,                 1.7509,                 1.2919,                 1.2761,               0.001151,               0.001151,               0.001151
