                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5397,                 3.2878,                 2.9284,                 1.6131,                0.59674,                0.09368,                0.20873,                0.09518,                0.59674,                0.09368,                0.20459,                0.08963,                 1.6315,                 3.0885,                 3.1834,                 1.9124,             0.00046346,             0.00046346,             0.00046346
                      1,                 1.3619,                 2.1792,                 2.0204,                 1.3863,                0.32322,                0.13314,                0.16347,                0.09362,                0.32322,                0.13314,                0.16285,                0.08651,                 1.6397,                 2.9404,                  3.367,                 1.9849,             0.00093669,             0.00093669,             0.00093669
                      2,                 1.3817,                 2.1011,                 1.8647,                 1.3793,                0.27936,                0.63932,                0.36733,                  0.207,                0.27936,                0.63932,                 0.3709,                 0.1988,                 1.5308,                 3.0509,                 2.4547,                 1.6466,              0.0014068,              0.0014068,              0.0014068
                      3,                 1.3687,                 2.1403,                 1.7771,                 1.3678,                0.43686,                0.59592,                0.45469,                0.26848,                0.42712,                0.57796,                0.44849,                0.26122,                 1.5045,                 2.9359,                 1.9122,                 1.5474,              0.0014149,              0.0014149,              0.0014149
                      4,                 1.3412,                 2.1141,                 1.6124,                 1.3407,                0.45122,                0.62644,                0.51495,                0.26402,                0.45771,                0.63844,                 0.5219,                0.28141,                 1.4982,                  2.215,                  1.661,                 1.6049,              0.0014149,              0.0014149,              0.0014149
                      5,                 1.3468,                 2.0617,                 1.5457,                 1.3491,                0.48087,                0.72419,                0.57673,                0.33601,                0.52121,                0.69792,                    0.6,                0.34084,                  1.453,                 2.2504,                 1.4612,                 1.5006,              0.0014101,              0.0014101,              0.0014101
                      6,                 1.3034,                 1.9927,                 1.4245,                 1.3297,                0.55767,                0.62111,                0.52883,                0.29873,                0.55607,                0.58237,                0.51208,                  0.279,                 1.4571,                 2.5842,                 1.6884,                  1.464,              0.0014054,              0.0014054,              0.0014054
                      7,                 1.2913,                 1.9522,                 1.3962,                 1.3081,                0.50655,                0.73043,                0.64755,                0.40051,                0.50498,                0.73305,                 0.6409,                0.37452,                 1.2543,                 2.2153,                 1.7351,                 1.3507,              0.0014007,              0.0014007,              0.0014007
                      8,                 1.2716,                 1.9468,                 1.3173,                  1.303,                 0.6875,                0.72468,                 0.7309,                0.47432,                0.66667,                0.72808,                0.72294,                0.45567,                  1.278,                 2.0502,                 1.0921,                 1.3436,               0.001396,               0.001396,               0.001396
                      9,                 1.2444,                  1.918,                 1.2784,                 1.2853,                0.66371,                0.49095,                0.60179,                0.37933,                0.66371,                0.49095,                0.60329,                0.37622,                 1.2771,                 2.2832,                 1.5331,                 1.3727,              0.0013913,              0.0013913,              0.0013913
                     10,                 1.2778,                 1.9585,                 1.2786,                 1.3039,                0.68385,                0.67408,                0.71941,                0.43616,                0.68618,                0.67134,                0.72901,                0.44255,                 1.3415,                 2.1575,                 1.2317,                  1.433,              0.0013866,              0.0013866,              0.0013866
                     11,                 1.2381,                 1.9207,                 1.2486,                 1.2853,                0.47664,                0.78696,                0.65859,                0.41456,                0.47868,                 0.7812,                0.65888,                0.42193,                 1.3228,                 2.0733,                 1.4103,                 1.4221,              0.0013818,              0.0013818,              0.0013818
                     12,                 1.2339,                 1.8918,                 1.1932,                 1.2741,                0.65983,                0.68852,                0.70536,                0.45023,                0.66002,                 0.6883,                0.71608,                0.43915,                 1.2915,                 2.0097,                 1.4515,                 1.3856,              0.0013771,              0.0013771,              0.0013771
                     13,                  1.215,                 1.9034,                 1.1972,                 1.2664,                 0.6227,                0.66798,                0.75986,                0.46905,                0.62135,                0.65975,                0.75802,                 0.4638,                 1.3221,                 1.9863,                 1.3135,                 1.4082,              0.0013724,              0.0013724,              0.0013724
                     14,                 1.2052,                 1.8648,                 1.1811,                 1.2542,                 0.6455,                0.65454,                0.70371,                0.43486,                 0.6455,                0.65454,                0.70371,                0.44522,                 1.2966,                 1.9246,                 1.2643,                 1.3808,              0.0013677,              0.0013677,              0.0013677
                     15,                 1.1706,                 1.8443,                 1.1223,                 1.2475,                0.65521,                0.66192,                 0.7295,                0.48463,                0.65521,                0.66192,                 0.7295,                0.46283,                 1.2674,                 1.8913,                 1.3368,                 1.3156,               0.001363,               0.001363,               0.001363
                     16,                 1.1636,                 1.7943,                 1.0859,                 1.2458,                0.61373,                0.69982,                0.70283,                0.44568,                 0.6059,                0.69239,                0.69499,                0.41671,                 1.2791,                  2.123,                 1.0989,                 1.3739,              0.0013583,              0.0013583,              0.0013583
                     17,                 1.1732,                 1.8486,                 1.0797,                 1.2496,                0.57607,                0.76545,                0.74729,                0.46328,                0.57607,                0.76545,                0.74661,                0.44555,                 1.2652,                 1.8578,                  1.219,                 1.3718,              0.0013535,              0.0013535,              0.0013535
                     18,                 1.1897,                 1.8259,                 1.1004,                 1.2602,                0.61757,                0.74394,                0.73744,                0.46146,                 0.6141,                0.76155,                0.74053,                0.44219,                 1.2648,                 1.9313,                 1.0739,                 1.3559,              0.0013488,              0.0013488,              0.0013488
                     19,                 1.1685,                 1.8335,                 1.0681,                 1.2516,                0.60038,                0.58822,                0.61442,                0.37601,                0.60556,                0.59635,                0.61503,                0.37491,                 1.4915,                 2.1857,                 1.5913,                 1.4566,              0.0013441,              0.0013441,              0.0013441
                     20,                 1.1786,                 1.8115,                 1.0614,                  1.245,                0.81882,                0.71719,                 0.8107,                0.50268,                0.78709,                 0.7153,                0.78227,                0.49969,                 1.2811,                 1.8645,                0.91906,                 1.3473,              0.0013394,              0.0013394,              0.0013394
                     21,                 1.1283,                 1.7822,                 1.0175,                 1.2183,                0.66876,                0.74448,                0.77106,                0.49055,                0.68263,                 0.7582,                0.78962,                0.49014,                 1.2511,                 1.8302,                0.95027,                 1.3265,              0.0013347,              0.0013347,              0.0013347
                     22,                 1.1459,                 1.8092,                 1.0162,                   1.23,                0.69625,                0.72908,                0.73786,                0.47766,                0.69585,                0.72483,                0.74085,                 0.4382,                 1.2956,                   2.06,                 1.1656,                  1.342,                0.00133,                0.00133,                0.00133
                     23,                 1.1149,                 1.7239,                  1.028,                 1.2093,                0.63406,                0.81463,                0.81201,                0.53808,                0.63137,                0.81057,                0.80561,                0.52884,                 1.2197,                 1.9046,                0.97156,                 1.3304,              0.0013253,              0.0013253,              0.0013253
                     24,                 1.1302,                 1.7447,                 0.9718,                 1.2101,                0.72352,                0.68619,                0.76085,                0.45533,                0.73404,                0.70068,                0.76443,                0.45231,                 1.3948,                 1.8766,                0.99344,                 1.4056,              0.0013205,              0.0013205,              0.0013205
                     25,                 1.0954,                 1.7577,                0.94836,                 1.2034,                0.72787,                0.72735,                0.77152,                 0.5132,                0.73002,                0.73222,                0.78004,                0.50569,                 1.2356,                 1.8187,                 0.9196,                 1.2981,              0.0013158,              0.0013158,              0.0013158
                     26,                 1.1073,                 1.7202,                0.93101,                 1.1991,                0.60363,                  0.781,                0.70604,                0.47728,                0.60363,                  0.781,                0.70931,                0.46584,                  1.225,                 1.8536,                 1.0598,                 1.3381,              0.0013111,              0.0013111,              0.0013111
                     27,                 1.0971,                  1.719,                0.95543,                 1.1974,                0.72162,                0.76384,                0.78047,                0.53895,                0.72162,                0.76384,                0.78398,                0.52856,                 1.2063,                 2.1013,                0.93867,                 1.3282,              0.0013064,              0.0013064,              0.0013064
                     28,                 1.0941,                 1.7462,                0.98811,                 1.2051,                0.66466,                0.63544,                0.67392,                0.41774,                0.66466,                0.63544,                0.67947,                 0.4105,                 1.2813,                 2.0202,                 1.1786,                 1.3686,              0.0013017,              0.0013017,              0.0013017
                     29,                 1.0698,                 1.7098,                 0.9107,                 1.1804,                0.74687,                0.69507,                0.76893,                0.52573,                0.74687,                0.69507,                 0.7705,                0.50228,                 1.2099,                 1.9366,                0.91702,                 1.2933,               0.001297,               0.001297,               0.001297
                     30,                 1.0902,                 1.6658,                0.92876,                  1.194,                0.68533,                 0.7712,                0.79284,                0.54795,                0.69329,                0.78039,                0.80679,                0.52312,                 1.2302,                 1.8247,                0.88295,                 1.2967,              0.0012922,              0.0012922,              0.0012922
                     31,                  1.081,                  1.709,                0.90524,                 1.1959,                0.62797,                0.71379,                0.69127,                   0.44,                0.62981,                0.71572,                 0.6891,                0.42276,                 1.3108,                  1.934,                 1.0761,                 1.3807,              0.0012875,              0.0012875,              0.0012875
                     32,                 1.0641,                 1.6813,                0.87287,                 1.1837,                0.69382,                0.77047,                 0.7633,                0.51142,                0.69767,                0.77454,                0.77323,                0.50777,                 1.1948,                  1.824,                0.92048,                 1.3276,              0.0012828,              0.0012828,              0.0012828
                     33,                 1.0489,                  1.662,                0.87989,                 1.1791,                0.67617,                0.79773,                0.80087,                0.55554,                 0.6879,                0.81204,                0.81897,                0.54378,                 1.2142,                 1.8516,                0.88366,                 1.2917,              0.0012781,              0.0012781,              0.0012781
                     34,                 1.0829,                 1.7117,                0.89567,                 1.1955,                0.71819,                0.78644,                0.78074,                0.50886,                0.71819,                0.78644,                0.78074,                0.48463,                 1.2455,                 1.9909,                 1.0107,                 1.3283,              0.0012734,              0.0012734,              0.0012734
                     35,                 1.0662,                 1.6823,                0.87197,                 1.1903,                0.65366,                0.75344,                0.73123,                0.47943,                0.65511,                0.75695,                0.72918,                 0.4498,                 1.2403,                 1.8419,                0.98326,                 1.3352,              0.0012687,              0.0012687,              0.0012687
                     36,                 1.0489,                 1.6936,                0.87207,                 1.1669,                0.69896,                0.77854,                0.76337,                0.51119,                0.70017,                0.77776,                 0.7653,                0.50159,                 1.2962,                 1.9203,                0.92557,                  1.349,               0.001264,               0.001264,               0.001264
                     37,                 1.0303,                 1.6771,                0.85049,                 1.1669,                0.73398,                0.72591,                0.74444,                0.46604,                0.74224,                0.73331,                0.75391,                0.45125,                 1.2769,                 1.8925,                0.97735,                 1.3935,              0.0012592,              0.0012592,              0.0012592
                     38,                 1.0243,                 1.6326,                 0.8626,                 1.1634,                0.64944,                0.73921,                0.74916,                 0.4897,                0.64944,                0.73921,                0.75381,                0.50387,                 1.2455,                 1.8514,                 1.1642,                 1.3319,              0.0012545,              0.0012545,              0.0012545
                     39,                 1.0462,                 1.6194,                0.83908,                 1.1701,                0.78999,                0.78863,                  0.858,                0.57889,                0.78999,                0.78863,                0.85996,                0.55354,                 1.2195,                 1.8848,                0.86807,                 1.2905,              0.0012498,              0.0012498,              0.0012498
                     40,                  1.033,                  1.598,                0.84284,                 1.1614,                0.71044,                0.79848,                0.78362,                0.52899,                0.71572,                0.80624,                0.79089,                0.51871,                  1.183,                 1.7676,                0.96683,                 1.2898,              0.0012451,              0.0012451,              0.0012451
                     41,                0.99591,                  1.594,                0.80705,                 1.1478,                0.75987,                0.72206,                 0.8017,                0.53098,                0.76633,                0.72999,                0.80472,                0.52787,                 1.2178,                 1.7601,                0.85279,                 1.3198,              0.0012404,              0.0012404,              0.0012404
                     42,                 1.0365,                 1.6429,                0.81908,                 1.1613,                0.74653,                0.83444,                0.82834,                0.57288,                0.74378,                0.82993,                0.82755,                0.57308,                  1.132,                 1.7443,                 0.7949,                 1.2508,              0.0012357,              0.0012357,              0.0012357
                     43,                 1.0087,                 1.6162,                0.80874,                 1.1381,                0.80458,                0.74003,                0.78373,                 0.5047,                0.80458,                0.74003,                0.78436,                0.48449,                 1.2761,                 1.9748,                0.95545,                 1.3326,              0.0012309,              0.0012309,              0.0012309
                     44,                  1.018,                 1.5997,                0.78282,                 1.1464,                0.76874,                 0.7004,                 0.7752,                0.52802,                0.76874,                 0.7004,                 0.7754,                0.52477,                 1.1951,                 2.0195,                0.89162,                 1.3218,              0.0012262,              0.0012262,              0.0012262
                     45,                  1.008,                 1.5915,                0.78505,                 1.1435,                0.65732,                 0.7965,                0.75646,                 0.5072,                0.64841,                0.78685,                0.75369,                0.50152,                 1.1779,                 1.8373,                0.95617,                 1.2891,              0.0012215,              0.0012215,              0.0012215
                     46,                 1.0046,                 1.6016,                0.78223,                 1.1451,                0.67379,                0.79811,                0.80067,                0.54698,                0.67379,                0.79811,                0.80577,                0.51747,                 1.2253,                 1.9296,                0.94892,                 1.3134,              0.0012168,              0.0012168,              0.0012168
                     47,                0.98704,                 1.5836,                0.80897,                 1.1337,                0.63012,                0.82641,                0.80074,                0.53205,                0.62681,                0.82235,                0.79905,                0.51937,                 1.1668,                  1.952,                 1.0007,                 1.2902,              0.0012121,              0.0012121,              0.0012121
                     48,                0.98522,                 1.5454,                0.75379,                 1.1369,                0.82189,                0.72461,                0.82564,                0.55103,                0.82189,                0.72461,                0.82564,                0.52184,                 1.1998,                 2.0492,                0.82893,                 1.3091,              0.0012074,              0.0012074,              0.0012074
                     49,                0.97226,                 1.5459,                0.74604,                 1.1307,                0.66505,                0.87276,                0.85507,                0.59123,                0.66505,                0.87276,                0.85507,                0.58473,                 1.1729,                 1.9269,                0.89295,                 1.3221,              0.0012026,              0.0012026,              0.0012026
                     50,                0.97078,                 1.5701,                0.77131,                 1.1272,                0.72912,                0.73064,                0.77551,                0.53166,                0.68423,                0.80272,                0.78339,                0.50727,                 1.2094,                 1.9567,                0.92726,                 1.3083,              0.0011979,              0.0011979,              0.0011979
                     51,                0.98232,                 1.5751,                0.74192,                 1.1346,                0.74734,                0.77713,                0.82896,                0.54329,                0.75326,                0.78757,                0.82837,                0.52426,                 1.2276,                 1.8424,                0.85562,                 1.2887,              0.0011932,              0.0011932,              0.0011932
                     52,                0.97063,                 1.5692,                0.74955,                 1.1326,                0.79325,                0.76752,                0.84422,                0.56739,                0.79325,                0.76752,                0.84422,                0.55825,                 1.1624,                 1.8541,                0.80067,                 1.2963,              0.0011885,              0.0011885,              0.0011885
                     53,                0.97068,                 1.5425,                0.76911,                 1.1334,                0.79416,                0.72987,                0.83131,                0.57444,                0.78946,                0.72581,                0.82915,                0.55214,                 1.1414,                 1.8379,                0.85249,                 1.2685,              0.0011838,              0.0011838,              0.0011838
                     54,                0.96525,                 1.5729,                 0.7252,                 1.1315,                 0.7252,                0.76481,                0.81043,                0.53441,                 0.7252,                0.76481,                0.81043,                0.52512,                 1.2619,                  2.028,                 1.0549,                 1.3734,              0.0011791,              0.0011791,              0.0011791
                     55,                0.97687,                 1.5796,                0.74532,                 1.1334,                0.74977,                0.80421,                0.80097,                0.53767,                0.78439,                0.80328,                 0.8052,                0.51981,                 1.2423,                  1.947,                0.81166,                  1.331,              0.0011744,              0.0011744,              0.0011744
                     56,                0.95713,                 1.5409,                0.73314,                 1.1228,                0.72378,                0.83752,                0.82676,                0.54939,                0.72818,                0.84159,                 0.8307,                0.51716,                 1.2475,                 2.0835,                0.83369,                 1.4171,              0.0011696,              0.0011696,              0.0011696
                     57,                0.94065,                 1.4864,                0.71466,                 1.1153,                0.75295,                0.86382,                0.83126,                0.55143,                0.75683,                0.86789,                0.83839,                0.53981,                  1.227,                 1.9344,                0.90222,                 1.3174,              0.0011649,              0.0011649,              0.0011649
                     58,                 0.9319,                 1.4782,                0.69474,                 1.1061,                0.81014,                0.78448,                0.86652,                0.59211,                0.81014,                0.78448,                0.86652,                0.58632,                 1.1618,                 1.8612,                0.89278,                 1.3194,              0.0011602,              0.0011602,              0.0011602
                     59,                0.92651,                 1.4904,                0.71689,                 1.1075,                0.86176,                0.74068,                0.86616,                0.59026,                0.86176,                0.74068,                0.86616,                0.57551,                 1.1632,                 1.9428,                0.78432,                 1.3149,              0.0011555,              0.0011555,              0.0011555
                     60,                0.92646,                 1.5132,                 0.7071,                 1.1206,                0.76487,                0.81499,                0.82844,                0.57123,                0.76857,                0.81825,                0.83317,                   0.56,                 1.1706,                 1.7885,                0.82578,                 1.2959,              0.0011508,              0.0011508,              0.0011508
                     61,                0.93433,                 1.5114,                0.70915,                 1.1138,                0.82713,                0.84302,                0.85752,                0.59406,                0.84025,                0.84367,                0.86528,                0.58385,                 1.1483,                  1.923,                0.74916,                  1.265,              0.0011461,              0.0011461,              0.0011461
                     62,                0.94037,                 1.5228,                0.70132,                 1.1107,                0.77014,                0.70685,                0.74152,                0.49167,                0.77711,                0.71498,                0.74782,                0.48584,                 1.1951,                 1.8451,                0.93913,                  1.316,              0.0011413,              0.0011413,              0.0011413
                     63,                0.89543,                 1.4481,                0.67776,                 1.0836,                0.81858,                0.82678,                0.85407,                0.58991,                0.81858,                0.82678,                0.85536,                0.56647,                 1.2118,                 1.9271,                 0.8274,                 1.3283,              0.0011366,              0.0011366,              0.0011366
                     64,                0.89672,                 1.4552,                0.66819,                 1.0869,                0.79799,                 0.8106,                0.84538,                 0.5762,                0.79799,                 0.8106,                0.84834,                0.56141,                  1.173,                 1.9714,                0.76142,                 1.3085,              0.0011319,              0.0011319,              0.0011319
                     65,                0.91278,                  1.483,                0.67412,                 1.0897,                0.77581,                0.79304,                0.82571,                0.54701,                0.77435,                0.79323,                0.82747,                0.55276,                 1.2619,                 1.8692,                0.82996,                 1.3693,              0.0011272,              0.0011272,              0.0011272
                     66,                0.90318,                 1.4807,                0.67995,                  1.091,                0.78078,                0.83441,                0.85442,                0.58344,                0.78078,                0.83441,                0.85442,                0.57185,                 1.1779,                  1.848,                0.82044,                  1.327,              0.0011225,              0.0011225,              0.0011225
                     67,                0.91591,                 1.4355,                0.67431,                  1.099,                0.86903,                 0.7787,                0.84758,                0.54554,                0.86154,                0.77057,                0.84131,                0.54099,                  1.206,                 1.9013,                0.80757,                  1.327,              0.0011178,              0.0011178,              0.0011178
                     68,                0.92071,                 1.4693,                0.67569,                 1.1037,                0.72441,                 0.7456,                0.82783,                0.56448,                0.73435,                0.75353,                 0.8336,                0.56547,                 1.1831,                 1.8062,                0.90495,                 1.2967,               0.001113,               0.001113,               0.001113
                     69,                0.89715,                 1.4547,                0.66807,                 1.0917,                0.79619,                0.81714,                0.86443,                0.56989,                0.79935,                0.82436,                0.87472,                0.57498,                 1.2594,                 1.9622,                0.82121,                 1.3854,              0.0011083,              0.0011083,              0.0011083
                     70,                0.90053,                 1.4556,                0.67368,                 1.0801,                 0.8932,                0.80294,                0.87123,                0.58303,                0.88894,                 0.7991,                0.87232,                0.57191,                 1.1761,                 1.7922,                0.73583,                 1.3026,              0.0011036,              0.0011036,              0.0011036
                     71,                0.89645,                 1.4805,                0.67308,                  1.086,                0.74355,                0.78769,                0.82335,                0.56755,                0.74763,                0.79175,                0.82679,                0.56165,                 1.1686,                 1.9501,                 0.7919,                 1.3104,              0.0010989,              0.0010989,              0.0010989
                     72,                0.89111,                 1.4401,                0.65267,                 1.0885,                0.78667,                0.82554,                0.84085,                 0.5649,                0.78667,                0.82554,                0.84255,                 0.5564,                 1.2525,                 1.9715,                0.80155,                 1.3666,              0.0010942,              0.0010942,              0.0010942
                     73,                0.90281,                 1.4653,                0.63889,                 1.0965,                0.83873,                0.78455,                0.85927,                0.56882,                0.84248,                0.78862,                0.86355,                0.54811,                 1.2487,                 1.9788,                0.76442,                 1.3502,              0.0010895,              0.0010895,              0.0010895
                     74,                0.88868,                 1.4509,                0.64974,                 1.0842,                0.79285,                0.79002,                0.85706,                0.58277,                0.79285,                0.79002,                0.85706,                0.59783,                 1.1786,                  1.879,                0.85538,                  1.302,              0.0010848,              0.0010848,              0.0010848
                     75,                0.88649,                 1.4381,                0.62762,                 1.0752,                0.79642,                0.80033,                0.83262,                0.54089,                0.80403,                0.80846,                0.83841,                0.54949,                 1.2588,                 2.0743,                0.77392,                  1.391,                0.00108,                0.00108,                0.00108
                     76,                0.86109,                 1.4169,                0.63297,                  1.072,                 0.7778,                0.76572,                0.80027,                0.54579,                0.77822,                0.76481,                 0.8002,                0.53865,                 1.1699,                 1.8936,                 1.0022,                 1.2983,              0.0010753,              0.0010753,              0.0010753
                     77,                0.87051,                 1.4198,                0.62732,                 1.0694,                0.83529,                0.84681,                0.89285,                0.61745,                0.83252,                 0.8523,                0.89725,                0.60668,                 1.1407,                  1.846,                0.71146,                 1.2711,              0.0010706,              0.0010706,              0.0010706
                     78,                0.85483,                  1.387,                0.62421,                 1.0667,                0.76195,                0.76519,                0.82269,                0.55777,                0.76489,                0.76926,                0.82539,                0.54436,                 1.1888,                 1.9817,                0.94618,                 1.3337,              0.0010659,              0.0010659,              0.0010659
                     79,                0.86011,                 1.3732,                0.61699,                 1.0711,                0.90212,                0.78678,                0.88999,                0.63992,                0.90294,                0.79227,                0.89372,                0.63098,                 1.1167,                 1.7211,                0.63786,                 1.2741,              0.0010612,              0.0010612,              0.0010612
                     80,                0.85272,                 1.3893,                0.62532,                 1.0645,                0.80435,                0.79071,                0.83383,                0.58762,                0.80435,                0.79071,                0.83641,                0.57136,                  1.173,                 2.0495,                0.85916,                 1.3326,              0.0010565,              0.0010565,              0.0010565
                     81,                0.84394,                 1.3637,                0.60509,                 1.0626,                0.78955,                0.77754,                0.83718,                0.57026,                0.78955,                0.77754,                0.83987,                0.56405,                 1.1557,                 1.9419,                0.81312,                  1.293,              0.0010517,              0.0010517,              0.0010517
                     82,                0.84827,                 1.3592,                0.59953,                 1.0646,                0.76558,                0.83133,                0.85439,                0.57621,                0.76558,                0.83133,                0.85439,                0.57196,                 1.2334,                 1.9395,                 0.7385,                 1.3265,               0.001047,               0.001047,               0.001047
                     83,                0.85308,                 1.3898,                  0.611,                 1.0668,                0.82185,                0.88438,                 0.8856,                 0.6153,                0.82185,                0.88438,                 0.8856,                0.60748,                 1.1272,                 1.9962,                 0.6657,                 1.2969,              0.0010423,              0.0010423,              0.0010423
                     84,                0.83092,                 1.3763,                0.59557,                  1.058,                0.86265,                0.82805,                0.88934,                0.62314,                0.86734,                0.83162,                0.89449,                0.60812,                  1.115,                 1.9725,                0.67545,                 1.2684,              0.0010376,              0.0010376,              0.0010376
                     85,                0.86735,                 1.3865,                0.62295,                 1.0787,                 0.8338,                 0.8277,                0.85642,                0.58977,                 0.8291,                0.82905,                0.85478,                0.58014,                 1.1768,                 1.9974,                0.79817,                 1.3338,              0.0010329,              0.0010329,              0.0010329
                     86,                0.85853,                 1.3789,                0.61854,                 1.0662,                0.83643,                0.80333,                0.87086,                  0.578,                0.82028,                0.78944,                0.84542,                0.57309,                 1.2406,                 1.9797,                0.75111,                 1.3803,              0.0010282,              0.0010282,              0.0010282
                     87,                0.83903,                 1.3615,                0.58686,                 1.0551,                0.80636,                0.87413,                0.88956,                0.62528,                0.80636,                0.87413,                0.89865,                 0.6097,                  1.159,                 1.9397,                0.70099,                 1.2951,              0.0010234,              0.0010234,              0.0010234
                     88,                0.84218,                 1.3732,                0.61157,                 1.0581,                0.84972,                0.81591,                  0.855,                 0.6036,                0.85312,                0.81998,                0.85981,                 0.5833,                 1.1443,                 1.9888,                0.74371,                 1.3021,              0.0010187,              0.0010187,              0.0010187
                     89,                0.83188,                 1.3617,                0.59954,                 1.0533,                0.78768,                0.82274,                0.87474,                0.61281,                0.78434,                0.81867,                0.87819,                0.60537,                 1.1825,                 1.9687,                0.75985,                 1.3401,               0.001014,               0.001014,               0.001014
                     90,                 0.8185,                 1.3396,                0.59545,                 1.0528,                0.78275,                0.88611,                0.89586,                0.61971,                0.78275,                0.88611,                0.89586,                0.61484,                 1.1448,                  1.933,                 0.7655,                 1.3144,              0.0010093,              0.0010093,              0.0010093
                     91,                0.81222,                  1.335,                0.57479,                 1.0401,                0.78342,                0.81642,                0.87973,                0.59099,                0.78706,                0.82048,                0.88181,                0.58535,                 1.2364,                 1.9418,                0.82879,                 1.3317,              0.0010046,              0.0010046,              0.0010046
                     92,                0.80468,                 1.3315,                0.57801,                 1.0386,                0.84718,                0.77633,                 0.8719,                0.59821,                0.84718,                0.77633,                 0.8719,                0.59249,                  1.182,                    1.9,                0.72083,                 1.3449,             0.00099987,             0.00099987,             0.00099987
                     93,                0.81213,                 1.3111,                0.57337,                 1.0478,                0.82964,                0.76257,                0.86527,                0.60049,                0.82964,                0.76257,                0.86669,                0.59477,                 1.1946,                 1.9688,                0.70104,                 1.3479,             0.00099516,             0.00099516,             0.00099516
                     94,                0.81369,                 1.3163,                0.57612,                 1.0484,                0.81599,                0.76084,                0.88335,                0.61086,                0.81599,                0.76084,                0.88335,                0.61156,                 1.1545,                 1.9745,                0.67769,                 1.3038,             0.00099044,             0.00099044,             0.00099044
                     95,                0.79245,                 1.3192,                0.56685,                 1.0318,                0.80549,                0.86268,                0.87582,                0.61874,                0.80976,                0.86675,                0.87957,                0.60674,                 1.1885,                 2.0038,                0.66302,                 1.3401,             0.00098572,             0.00098572,             0.00098572
                     96,                0.79767,                 1.3156,                0.56611,                 1.0361,                 0.8294,                0.93085,                0.92704,                0.63131,                 0.8294,                0.93085,                0.92704,                0.62924,                 1.1352,                 1.8924,                 0.6497,                 1.2702,             0.00098101,             0.00098101,             0.00098101
                     97,                0.79673,                 1.2955,                0.54952,                 1.0379,                 0.8339,                0.83738,                0.90861,                0.60788,                0.84181,                0.84551,                0.91163,                 0.6058,                 1.1704,                 1.9751,                0.68218,                 1.3318,             0.00097629,             0.00097629,             0.00097629
                     98,                0.79378,                 1.2917,                0.56223,                  1.042,                0.79608,                0.78533,                0.86755,                0.62184,                 0.7956,                0.79762,                0.87619,                 0.6169,                 1.1368,                 1.8851,                0.73867,                 1.3242,             0.00097158,             0.00097158,             0.00097158
                     99,                0.80599,                 1.3199,                0.57176,                 1.0472,                0.80769,                0.80669,                 0.8482,                0.58362,                0.81092,                0.81076,                0.85338,                0.57402,                 1.1549,                 2.0429,                0.73291,                 1.3359,             0.00096686,             0.00096686,             0.00096686
                    100,                0.79673,                 1.3329,                0.57161,                 1.0397,                0.83108,                0.82433,                0.86668,                0.62262,                0.83108,                0.82433,                0.86668,                0.60623,                 1.1403,                 2.0622,                 0.6849,                 1.2979,             0.00096215,             0.00096215,             0.00096215
                    101,                0.78449,                 1.3115,                0.55213,                 1.0389,                0.80612,                 0.7907,                  0.864,                0.62183,                0.80612,                 0.7907,                0.86457,                0.59133,                 1.1273,                 1.9235,                0.69985,                 1.2516,             0.00095743,             0.00095743,             0.00095743
                    102,                0.80843,                 1.3341,                0.57638,                  1.038,                 0.7884,                0.87306,                0.89416,                0.62253,                0.78443,                0.86933,                0.89247,                 0.6147,                 1.1846,                 2.0943,                0.74208,                  1.355,             0.00095271,             0.00095271,             0.00095271
                    103,                0.77681,                  1.287,                0.56981,                 1.0312,                0.81858,                0.79911,                0.87414,                0.61044,                0.82629,                0.79816,                0.87855,                0.60934,                 1.1529,                  2.075,                0.69085,                 1.3396,               0.000948,               0.000948,               0.000948
                    104,                0.77343,                 1.2999,                0.54292,                 1.0318,                0.79619,                0.83237,                0.85758,                0.60947,                0.79619,                0.83237,                0.85758,                0.60495,                  1.166,                 2.1362,                0.74228,                 1.2991,             0.00094328,             0.00094328,             0.00094328
                    105,                0.79525,                 1.3193,                0.56238,                 1.0443,                0.85556,                0.77559,                0.89053,                0.61297,                0.85556,                0.77559,                0.88911,                0.59832,                 1.1964,                  2.188,                0.70187,                 1.3428,             0.00093857,             0.00093857,             0.00093857
