                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5694,                 3.5401,                 3.0673,                 1.5976,                0.08831,                0.89874,                0.34457,                0.19857,                0.08487,                0.86415,                0.33679,                0.17652,                 1.3857,                  3.181,                 3.1235,                  1.476,             0.00040541,             0.00040541,             0.00040541
                      1,                 1.3717,                  2.133,                 2.0397,                 1.3463,                0.46472,                0.36197,                0.39836,                0.21853,                0.46032,                0.35805,                0.39225,                0.20279,                 1.4966,                 3.2218,                 2.6648,                 1.5453,             0.00081936,             0.00081936,             0.00081936
                      2,                  1.369,                 2.1272,                 1.8651,                 1.3656,                0.42157,                0.44402,                0.40003,                 0.2189,                0.39976,                0.42168,                0.37385,                0.20079,                 1.4249,                 2.8285,                 2.2864,                 1.4596,              0.0012306,              0.0012306,              0.0012306
                      3,                 1.3462,                 2.1093,                 1.7713,                 1.3691,                0.22459,                0.62187,                0.28256,                0.11776,                0.24091,                0.63849,                0.34451,                0.18809,                 1.7557,                 2.8125,                  3.499,                  1.852,              0.0012376,              0.0012376,              0.0012376
                      4,                 1.3256,                 2.0697,                 1.6684,                 1.3643,                0.52306,                0.64113,                0.55814,                0.30942,                0.52022,                0.63721,                0.56479,                0.31947,                 1.3901,                  2.162,                 1.5873,                 1.5758,              0.0012376,              0.0012376,              0.0012376
                      5,                 1.2858,                 1.9784,                 1.5296,                 1.3155,                0.57238,                0.73158,                0.65222,                0.40385,                0.57881,                0.71234,                0.65181,                0.39679,                 1.2649,                 1.9025,                  1.331,                 1.3801,              0.0012335,              0.0012335,              0.0012335
                      6,                 1.2955,                 1.9397,                 1.4382,                 1.3297,                0.47823,                0.72171,                0.59872,                0.36431,                0.47823,                0.72171,                0.59513,                0.36692,                 1.2048,                  1.918,                 1.5462,                 1.3133,              0.0012294,              0.0012294,              0.0012294
                      7,                 1.2753,                 1.9779,                 1.3998,                 1.3128,                0.61811,                0.64261,                0.65078,                0.35611,                0.62966,                0.66668,                0.66581,                 0.3723,                 1.4662,                 1.9869,                 1.4526,                 1.5259,              0.0012252,              0.0012252,              0.0012252
                      8,                  1.257,                  1.953,                 1.3788,                 1.3131,                0.55474,                0.72159,                 0.6513,                0.40191,                0.55474,                0.72159,                 0.6513,                0.40175,                 1.1822,                 1.8999,                 1.2355,                 1.3357,              0.0012211,              0.0012211,              0.0012211
                      9,                 1.2423,                  1.956,                 1.3075,                 1.2996,                0.52422,                0.83955,                0.62183,                0.38644,                0.52422,                0.83955,                0.62162,                0.38593,                 1.2255,                 1.9329,                 1.3652,                 1.3328,               0.001217,               0.001217,               0.001217
