                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5623,                 3.4783,                 3.1569,                    1.6,                0.00449,                0.96045,                0.29322,                0.17089,                0.00456,                0.97287,                0.30046,                0.16853,                 1.3594,                 2.8291,                 3.1239,                 1.4495,             0.00040541,             0.00040541,             0.00040541
                      1,                 1.3684,                 2.1255,                 2.0185,                  1.337,                0.41357,                 0.5267,                0.43548,                0.25813,                0.41546,                0.53604,                0.44435,                0.26668,                 1.5325,                 2.5711,                 2.5673,                 1.6338,             0.00081936,             0.00081936,             0.00081936
                      2,                 1.3646,                 2.1664,                 1.8801,                 1.3686,                0.55229,                0.48962,                0.39409,                0.24371,                0.55229,                0.48962,                0.39138,                 0.2352,                 1.4019,                 3.2134,                 2.8878,                 1.6797,              0.0012306,              0.0012306,              0.0012306
                      3,                 1.3625,                 2.1391,                 1.7686,                 1.3663,                0.36967,                0.71436,                0.53471,                0.33809,                0.44964,                0.57515,                 0.5263,                0.31101,                  1.385,                 2.6801,                 2.2295,                 1.4624,              0.0012376,              0.0012376,              0.0012376
                      4,                   1.34,                 2.1039,                 1.5964,                 1.3418,                0.45798,                0.55132,                0.46822,                0.28727,                0.43776,                0.51018,                0.41328,                0.23528,                 1.5296,                 3.8269,                 2.1635,                 1.5996,              0.0012376,              0.0012376,              0.0012376
                      5,                 1.2951,                 2.0102,                   1.48,                 1.3136,                0.46395,                0.50775,                0.45717,                0.29071,                0.47086,                 0.5163,                0.45726,                0.28122,                 1.5143,                 2.2997,                 2.0663,                 1.6054,              0.0012335,              0.0012335,              0.0012335
                      6,                 1.3259,                  2.048,                 1.4303,                 1.3266,                0.52442,                0.65742,                0.60991,                0.36668,                0.51794,                0.65419,                0.61116,                0.36239,                 1.3853,                 2.0419,                 1.7681,                 1.4501,              0.0012294,              0.0012294,              0.0012294
                      7,                 1.2853,                 1.9346,                 1.3912,                 1.2934,                0.31753,                0.59642,                0.49988,                 0.2957,                0.31753,                0.59642,                0.49562,                0.29925,                 1.3382,                 2.0214,                 1.7296,                 1.4467,              0.0012252,              0.0012252,              0.0012252
                      8,                  1.278,                 1.9935,                 1.3528,                 1.2978,                0.49272,                0.75127,                0.70497,                0.48479,                0.48449,                0.75488,                0.69946,                0.45161,                 1.2606,                 2.2271,                 1.4174,                 1.3368,              0.0012211,              0.0012211,              0.0012211
                      9,                 1.2634,                 1.9594,                 1.2956,                 1.2957,                0.47163,                0.69363,                0.59096,                 0.3764,                0.46835,                0.68975,                0.58312,                0.36415,                 1.3466,                 2.2888,                 1.6042,                 1.4117,               0.001217,               0.001217,               0.001217
                     10,                 1.2592,                 1.9143,                 1.2577,                   1.29,                0.53719,                0.76949,                0.67588,                0.43641,                0.53714,                0.76722,                 0.6788,                0.44199,                 1.3927,                  2.006,                 1.2687,                 1.4547,              0.0012129,              0.0012129,              0.0012129
                     11,                 1.2372,                 1.9019,                 1.2386,                 1.2822,                0.66744,                0.65572,                0.65846,                0.42611,                0.66424,                0.64797,                0.64589,                0.38138,                 1.4156,                 2.2311,                  1.393,                 1.4784,              0.0012087,              0.0012087,              0.0012087
                     12,                 1.2381,                 1.9176,                 1.2004,                 1.2667,                0.59493,                0.56434,                0.58218,                0.34888,                0.58904,                0.56159,                0.57887,                0.32831,                 1.4299,                 2.1387,                 1.5158,                 1.4715,              0.0012046,              0.0012046,              0.0012046
                     13,                 1.2028,                 1.9049,                 1.1645,                 1.2567,                0.57252,                0.73635,                0.69181,                 0.4496,                0.61805,                0.70359,                0.69173,                0.44795,                 1.4025,                 2.5518,                 1.3344,                 1.4667,              0.0012005,              0.0012005,              0.0012005
                     14,                 1.2002,                 1.8642,                 1.1398,                 1.2557,                0.61049,                0.71675,                0.67544,                0.42553,                 0.6032,                 0.7089,                0.66847,                0.41464,                 1.3522,                 2.1047,                 1.3489,                 1.4347,              0.0011964,              0.0011964,              0.0011964
                     15,                 1.1888,                 1.8382,                  1.121,                 1.2468,                0.72969,                  0.684,                 0.7059,                0.45137,                0.72969,                  0.684,                 0.7011,                0.45256,                 1.3903,                  1.984,                 1.2116,                 1.4908,              0.0011922,              0.0011922,              0.0011922
